pais,anio,mes,formato,archivo,revision,nombre_original
Alemania,2026,1,DOCX,infoinve-alemania-2026-01.docx,0,INFOINVE Alemania enero de 2026.docx
Alemania,2026,2,DOCX,infoinve-alemania-2026-02.docx,0,INFOINVE Alemania febrero de 2026.docx
Armenia,2026,7,DOCX,infoinve-armenia-2026-07.docx,0,INFOINVE  Armenia julio de 2026.docx
Austria,2026,3,DOCX,infoinve-austria-2026-03.docx,0,INFOINVE Austria marzo de 2026.docx
Austria,2026,7,DOCX,infoinve-austria-2026-07.docx,0,INFOINVE Austria julio de 2026.docx
Belgica,2026,7,DOCX,infoinve-belgica-2026-07.docx,0,INFOINVE Bélgica julio de 2026.docx
Canada,2026,2,DOCX,infoinve-canada-2026-02.docx,0,INFOINVE Canadá febrero de 2026.docx
Canada,2026,6,DOCX,infoinve-canada-2026-06.docx,0,INFOINVE Canadá junio de 2026.docx
Chile,2026,3,DOCX,infoinve-chile-2026-03.docx,0,INFOINVE Chile marzo de 2026.docx
China,2026,3,DOCX,infoinve-china-2026-03.docx,0,INFOINVE China marzo de 2026.docx
Corea,2026,3,DOCX,infoinve-corea-2026-03.docx,1,INFOINVE COREA marzo de 2026_Rev1.docx
Corea,2026,3,PDF,infoinve-corea-2026-03.pdf,2,INFOINVE COREA marzo de 2026_Rev2.pdf
Emiratos Árabes,2026,6,DOCX,infoinve-emiratos-arabes-2026-06.docx,0,INFOINVE Emiratos ╡rabes junio de 2026.docx
Eslovenia,2026,3,DOCX,infoinve-eslovenia-2026-03.docx,0,INFOINVE Eslovenia marzo 2026.docx
España,2026,5,DOCX,infoinve-espana-2026-05.docx,0,INFOINVE España mayo de 2026.docx
Estados Unidos,2026,1,DOCX,infoinve-estados-unidos-2026-01.docx,0,INFOINVE Estados Unidos enero de 2026.docx
Estados Unidos,2026,3,DOCX,infoinve-estados-unidos-2026-03.docx,0,INFOINVE Estados Unidos marzo de 2026.docx
Filipinas,2026,3,DOCX,infoinve-filipinas-2026-03.docx,0,INFOINVE Filipinas marzo de 2026.docx
Filipinas,2026,3,PDF,infoinve-filipinas-2026-03.pdf,0,INFOINVE Filipinas marzo de 2026.pdf
Finlandia,2026,7,DOCX,infoinve-finlandia-2026-07.docx,0,INFOINVE Finlandia julio de 2026.docx
Francia,2026,3,DOCX,infoinve-francia-2026-03.docx,0,INFOINVE Francia marzo de 2026.docx
Hungria,2026,1,DOCX,infoinve-hungria-2026-01.docx,0,INFOINVE Hungría enero de 2026.docx
Hungria,2026,3,DOCX,infoinve-hungria-2026-03.docx,0,INFOINVE Hungría marzo de 2026.docx
India,2026,7,DOCX,infoinve-india-2026-07.docx,0,INFOINVE India julio de 2026.docx
Indonesia,2026,3,DOCX,infoinve-indonesia-2026-03.docx,0,INFOINVE Indonesia marzo de 2026.docx
Indonesia,2026,3,PDF,infoinve-indonesia-2026-03.pdf,0,INFOINVE Indonesia marzo de 2026.pdf
Irlanda,2026,3,DOCX,infoinve-irlanda-2026-03.docx,0,INFOINVE  Irlanda marzo de 2026.docx
Italia,2026,1,DOCX,infoinve-italia-2026-01.docx,0,INFOINVE Italia enero de 2026.docx
Italia,2026,3,DOCX,infoinve-italia-2026-03.docx,0,INFOINVE Italia marzo de 2026.docx
Kazajstan,2026,2,DOCX,infoinve-kazajstan-2026-02.docx,0,INFOINVE Kazajstán febrero de 2026.docx
Lituania,2026,2,DOCX,infoinve-lituania-2026-02.docx,0,INFOINVE Lituania febrero de 2026.docx
Luxemburgo,2026,5,DOCX,infoinve-luxemburgo-2026-05.docx,0,INFOINVE Luxemburgo mayo de 2026.docx
Malasia,2026,3,DOCX,infoinve-malasia-2026-03.docx,0,INFOINVE Malasia marzo de 2026.docx
Malasia,2026,3,PDF,infoinve-malasia-2026-03.pdf,0,INFOINVE Malasia marzo de 2026.pdf
México,2026,3,DOCX,infoinve-mexico-2026-03.docx,0,INFOINVE Mexico marzo de 2026.docx
México,2026,6,DOCX,infoinve-mexico-2026-06.docx,0,INFOINVE Mexico junio de 2026.docx
Noruega,2026,6,DOCX,infoinve-noruega-2026-06.docx,0,INFOINVE Noruega junio de 2026.docx
Panama,2026,2,DOCX,infoinve-panama-2026-02.docx,0,INFOINVE Panamá febrero de 2026.docx
Polonia,2026,3,DOCX,infoinve-polonia-2026-03.docx,0,INFOINVE Polonia marzo de 2026.docx
Polonia,2026,4,DOCX,infoinve-polonia-2026-04.docx,0,INFOINVE Polonia abril de 2026.docx
Polonia,2026,6,DOCX,infoinve-polonia-2026-06.docx,0,INFOINVE Polonia junio de 2026.docx
Portugal,2026,4,DOCX,infoinve-portugal-2026-04.docx,0,INFOINVE Portugal abril de 2026.docx
Rep. Checa,2026,4,DOCX,infoinve-rep-checa-2026-04.docx,0,INFOINVE Rep. Checa abril de 2026.docx
Serbia,2026,5,DOCX,infoinve-serbia-2026-05.docx,0,INFOINVE Serbia mayo de 2026.docx
Suecia,2026,1,DOCX,infoinve-suecia-2026-01.docx,0,INFOINVE Suecia enero de 2026.docx
Suiza,2026,6,DOCX,infoinve-suiza-2026-06.docx,0,INFOINVE Suiza junio de 2026.docx
Suiza,2026,9,DOCX,infoinve-suiza-2026-09.docx,0,INFOINVE Suiza septiembre de 2026.docx
Tailandia,2026,3,DOCX,infoinve-tailandia-2026-03.docx,0,INFOINVE Tailandia marzo de 2026.docx
Tailandia,2026,3,PDF,infoinve-tailandia-2026-03.pdf,0,INFOINVE Tailandia marzo de 2026.pdf
Turquia,2026,3,DOCX,infoinve-turquia-2026-03.docx,0,INFOINVE Turquía marzo de 2026.docx
UE,2026,1,DOCX,infoinve-ue-2026-01.docx,0,INFOINVE UE enero de 2026.docx
UE,2026,3,DOCX,infoinve-ue-2026-03.docx,0,INFOINVE UE marzo de 2026.docx
UE,2026,5,DOCX,infoinve-ue-2026-05.docx,0,INFOINVE UE mayo de 2026.docx
Vietnam,2026,3,DOCX,infoinve-vietnam-2026-03.docx,0,INFOINVE Vietnam marzo de 2026.docx
Vietnam,2026,3,PDF,infoinve-vietnam-2026-03.pdf,0,INFOINVE Vietnam marzo de 2026.pdf
