pais,anio,mes,formato,archivo,revision,nombre_original
Panama,2025,11,DOCX,infoinve-panama-2025-11.docx,0,INFOINVE Panamá noviembre de 2025.docx
Países Bajos,2025,1,DOCX,infoinve-paises-bajos-2025-01.docx,0,INFOINVE Países Bajos enero de 2025.docx
Países Bajos,2025,9,DOCX,infoinve-paises-bajos-2025-09.docx,0,INFOINVE Países Bajos septiembre de 2025.docx
Países Bajos,2025,10,DOCX,infoinve-paises-bajos-2025-10.docx,0,INFOINVE Países Bajos octubre de 2025.docx
Peru,2025,6,DOCX,infoinve-peru-2025-06.docx,0,INFOINVE Perú junio de 2025.docx
Polonia,2025,11,DOCX,infoinve-polonia-2025-11.docx,0,INFOINVE Polonia noviembre de 2025.docx
Portugal,2025,9,DOCX,infoinve-portugal-2025-09.docx,0,INFOINVE Portugal septiembre de 2025.docx
Portugal,2025,12,DOCX,infoinve-portugal-2025-12.docx,0,INFOINVE Portugal diciembre de 2025.docx
Reino Unido,2025,1,DOCX,infoinve-reino-unido-2025-01.docx,0,INFOINVE Reino Unido enero de 2025.docx
Reino Unido,2025,10,DOCX,infoinve-reino-unido-2025-10.docx,0,INFOINVE Reino Unido octubre de 2025.docx
Rep. Checa,2025,5,DOCX,infoinve-rep-checa-2025-05.docx,0,INFOINVE Rep. Checa mayo de 2025.docx
Rep. Checa,2025,8,DOCX,infoinve-rep-checa-2025-08.docx,0,INFOINVE Rep. Checa agosto de 2025.docx
Rep. Checa,2025,12,DOCX,infoinve-rep-checa-2025-12.docx,0,INFOINVE Rep. Checa diciembre de 2025.docx
Serbia,2025,5,DOCX,infoinve-serbia-2025-05.docx,0,INFOINVE Serbia mayo de 2025.docx
Serbia,2025,11,DOCX,infoinve-serbia-2025-11.docx,0,INFOINVE Serbia noviembre de 2025.docx
Singapur,2025,1,DOCX,infoinve-singapur-2025-01.docx,0,INFOINVE SINGAPUR enero de 2025.docx
Suecia,2025,7,DOCX,infoinve-suecia-2025-07.docx,0,INFOINVE Suecia julio de 2025.docx
Suiza,2025,1,DOCX,infoinve-suiza-2025-01.docx,0,INFOINVE Suiza enero de 2025.docx
Suiza,2025,9,DOCX,infoinve-suiza-2025-09.docx,0,INFOINVE Suiza septiembre de 2025.docx
Suiza,2025,10,DOCX,infoinve-suiza-2025-10.docx,0,INFOINVE Suiza octubre de 2025.docx
Tailandia,2025,1,DOCX,infoinve-tailandia-2025-01.docx,0,INFOINVE Tailandia enero 2025.docx
Tunez,2025,3,DOCX,infoinve-tunez-2025-03.docx,0,INFOINVE Túnez marzo de 2025.docx
Turquia,2025,4,DOCX,infoinve-turquia-2025-04.docx,0,INFOINVE Turquía abril de 2025.docx
UE,2025,2,DOCX,infoinve-ue-2025-02.docx,0,INFOINVE UE febrero de 2025.docx
UE,2025,8,DOCX,infoinve-ue-2025-08.docx,0,INFOINVE UE agosto de 2025.docx
Ucrania,2025,9,DOCX,infoinve-ucrania-2025-09.docx,0,INFOINVE UCRANIA septiembre 2025.docx
Vietnam,2025,10,DOCX,infoinve-vietnam-2025-10.docx,0,INFOINVE Vietnam octubre de 2025.docx
